click_bell,base,"{"method":"none"}",Success rate: 5/12 => 41.7%, current seed: 100011,tok=[256, 256, 256]
click_bell,t3r,"{"method":"t3r","sel":"norm","cam_keep":"0.75,0.75,0.75"}",Success rate: 9/12 => 75.0%, current seed: 100011,tok=[192, 192, 192]
click_bell,adp,"{"method":"adp","cam_keep":"0.75,0.75,0.75"}",Success rate: 3/12 => 25.0%, current seed: 100011,tok=[192, 192, 192]
click_bell,fastv,"{"method":"fastv","cam_keep":"0.75,0.75,0.75"}",Success rate: 3/12 => 25.0%, current seed: 100011,tok=[192, 192, 192]
click_bell,team,"{"method":"team","cam_keep":"0.75,0.75,0.75"}",Success rate: 2/12 => 16.7%, current seed: 100011,tok=[192, 192, 192]
click_alarmclock,base,"{"method":"none"}",Success rate: 5/12 => 41.7%, current seed: 100011,tok=[256, 256, 256]
click_alarmclock,t3r,"{"method":"t3r","sel":"norm","cam_keep":"0.75,0.75,0.75"}",Success rate: 6/12 => 50.0%, current seed: 100011,tok=[192, 192, 192]
click_alarmclock,adp,"{"method":"adp","cam_keep":"0.75,0.75,0.75"}",Success rate: 5/12 => 41.7%, current seed: 100011,tok=[192, 192, 192]
click_alarmclock,fastv,"{"method":"fastv","cam_keep":"0.75,0.75,0.75"}",Success rate: 6/12 => 50.0%, current seed: 100011,tok=[192, 192, 192]
click_alarmclock,team,"{"method":"team","cam_keep":"0.75,0.75,0.75"}",Success rate: 3/12 => 25.0%, current seed: 100011,tok=[192, 192, 192]
beat_block_hammer,base,"{"method":"none"}",Success rate: 0/12 => 0.0%, current seed: 100011,tok=[256, 256, 256]
