unit,method,sr,tokens
coke_upright,base,0.88,256
coke_upright,t3r_dit,0.92,64
coke_upright,t3r_orig,0.84,64
coke_upright,adp64,0.8,64
coke_upright,team64,0.84,64
coke_lr_switch,base,0.96,256
coke_lr_switch,t3r_dit,0.56,64
coke_lr_switch,t3r_orig,0.84,64
coke_lr_switch,adp64,0.8,64
coke_lr_switch,team64,0.76,64
coke_laid_vert,base,0.64,256
coke_laid_vert,t3r_dit,0.52,64
coke_laid_vert,t3r_orig,0.52,64
coke_laid_vert,adp64,0.68,64
coke_laid_vert,team64,0.6,64
move_near,base,0.683,256
move_near,t3r_dit,0.267,64
move_near,t3r_orig,0.283,64
move_near,adp64,0.55,64
move_near,team64,0.55,64
drawer_open_top,base,0.778,256
drawer_open_top,t3r_dit,0.222,64
drawer_open_top,t3r_orig,0.111,64
drawer_open_top,adp64,0.556,64
drawer_open_top,team64,0.444,64
drawer_open_mid,base,0.889,256
drawer_open_mid,t3r_dit,0.333,64
drawer_open_mid,t3r_orig,0.333,64
drawer_open_mid,adp64,0.778,64
drawer_open_mid,team64,0.778,64
drawer_open_bot,base,0.667,256
drawer_open_bot,t3r_dit,0.0,64
drawer_open_bot,t3r_orig,0.0,64
drawer_open_bot,adp64,0.667,64
drawer_open_bot,team64,0.556,64
drawer_close_top,base,1.0,256
drawer_close_top,t3r_dit,0.333,64
drawer_close_top,t3r_orig,0.556,64
drawer_close_top,adp64,1.0,64
drawer_close_top,team64,1.0,64
drawer_close_mid,base,0.889,256
drawer_close_mid,t3r_dit,0.889,64
drawer_close_mid,t3r_orig,0.778,64
drawer_close_mid,adp64,1.0,64
drawer_close_mid,team64,1.0,64
drawer_close_bot,base,0.667,256
drawer_close_bot,t3r_dit,0.667,64
drawer_close_bot,t3r_orig,0.778,64
drawer_close_bot,adp64,1.0,64
drawer_close_bot,team64,0.889,64
put_in_drawer,base,0.0,256
put_in_drawer,t3r_dit,0.0,64
put_in_drawer,t3r_orig,0.0,64
put_in_drawer,adp64,0.0,64
put_in_drawer,team64,0.0,64
