unit,method,sr,n,kept,prune_pct
stack_cube,adp_faithful,0.0417,24,225.0,12.0
carrot_on_plate,adp_faithful,0.2083,24,224.0,12.0
spoon_on_towel,adp_faithful,0.1667,24,223.0,13.0
eggplant_in_basket,adp_faithful,0.25,24,221.0,14.0
stack_cube,adp40,0.0417,24,154.0,40.0
carrot_on_plate,adp40,0.2083,24,154.0,40.0
spoon_on_towel,adp40,0.2083,24,154.0,40.0
eggplant_in_basket,adp40,0.1667,24,154.0,40.0
stack_cube,team_faithful,0.0,24,80.0,69.0
carrot_on_plate,team_faithful,0.3333,24,80.0,69.0
spoon_on_towel,team_faithful,0.125,24,80.0,69.0
eggplant_in_basket,team_faithful,0.0417,24,80.0,69.0
