unit,method,fp32
coke_laid_vert,adp64,0.52
coke_laid_vert,t3r_dit,0.64
coke_laid_vert,t3r_orig,0.6
coke_laid_vert,team64,0.44
coke_lr_switch,adp64,0.76
coke_lr_switch,t3r_dit,0.68
coke_lr_switch,t3r_orig,0.72
coke_lr_switch,team64,0.88
coke_upright,adp64,0.84
coke_upright,t3r_dit,0.88
coke_upright,t3r_orig,0.88
coke_upright,team64,0.92
drawer_open_top,adp64,0.667
drawer_open_top,t3r_dit,0.111
drawer_open_top,t3r_orig,0.111
move_near,adp64,0.583
move_near,t3r_dit,0.3
move_near,t3r_orig,0.317
move_near,team64,0.517
