unit,method,sr,kept,prune_pct
coke_upright,adp_native,0.88,192,25.0
coke_upright,team_native,0.92,80,69.0
coke_upright,team_topk32,0.92,32,88.0
coke_upright,team_topk16,0.28,16,94.0
coke_lr_switch,adp_native,0.88,192,25.0
coke_lr_switch,team_native,0.8,80,69.0
coke_lr_switch,team_topk32,0.64,32,88.0
coke_lr_switch,team_topk16,0.52,16,94.0
coke_laid_vert,adp_native,0.68,192,25.0
coke_laid_vert,team_native,0.56,80,69.0
coke_laid_vert,team_topk32,0.48,32,88.0
coke_laid_vert,team_topk16,0.36,16,94.0
move_near,adp_native,0.7,192,25.0
move_near,team_native,0.583,80,69.0
move_near,team_topk32,0.417,32,88.0
move_near,team_topk16,0.117,16,94.0
drawer_open_top,adp_native,0.667,192,25.0
drawer_open_top,team_native,0.667,80,69.0
drawer_open_mid,adp_native,0.778,192,25.0
drawer_open_mid,team_native,1.0,80,69.0
drawer_open_bot,adp_native,0.556,192,25.0
drawer_open_bot,team_native,0.222,80,69.0
drawer_close_top,adp_native,1.0,192,25.0
drawer_close_top,team_native,1.0,80,69.0
drawer_close_mid,adp_native,1.0,192,25.0
drawer_close_mid,team_native,1.0,80,69.0
drawer_close_bot,adp_native,0.667,192,25.0
drawer_close_bot,team_native,0.889,80,69.0
put_in_drawer,adp_native,0.0,192,25.0
put_in_drawer,team_native,0.0,80,69.0
