unit,method,sr,n,kept,prune_pct,secs
coke_upright,adp_faithful,0.88,25,227.0,11.0,
coke_lr_switch,adp_faithful,0.8,25,224.0,12.0,
coke_laid_vert,adp_faithful,0.68,25,228.0,11.0,
move_near,adp_faithful,0.6667,60,225.0,12.0,
drawer_open_top,adp_faithful,0.6667,9,221.0,14.0,
drawer_open_mid,adp_faithful,0.7778,9,222.0,13.0,
drawer_open_bot,adp_faithful,0.5556,9,223.0,13.0,
drawer_close_top,adp_faithful,0.8889,9,222.0,13.0,
drawer_close_mid,adp_faithful,0.8889,9,220.0,14.0,
drawer_close_bot,adp_faithful,0.7778,9,222.0,13.0,
coke_upright,team_faithful,0.96,25,80.0,69.0,
coke_lr_switch,team_faithful,0.8,25,80.0,69.0,
coke_laid_vert,team_faithful,0.56,25,80.0,69.0,
move_near,team_faithful,0.6167,60,80.0,69.0,
drawer_open_top,team_faithful,0.6667,9,80.0,69.0,
drawer_open_mid,team_faithful,0.8889,9,80.0,69.0,
drawer_open_bot,team_faithful,0.6667,9,80.0,69.0,
drawer_close_top,team_faithful,1.0,9,80.0,69.0,
drawer_close_mid,team_faithful,0.8889,9,80.0,69.0,
drawer_close_bot,team_faithful,0.7778,9,80.0,69.0,
coke_upright,adp40,0.96,25,154.0,40.0,
coke_lr_switch,adp40,0.92,25,154.0,40.0,
coke_laid_vert,adp40,0.68,25,154.0,40.0,
move_near,adp40,0.6,60,154.0,40.0,
drawer_open_top,adp40,0.7778,9,154.0,40.0,
drawer_open_mid,adp40,0.7778,9,154.0,40.0,
drawer_open_bot,adp40,0.6667,9,154.0,40.0,
drawer_close_top,adp40,1.0,9,154.0,40.0,
drawer_close_mid,adp40,0.8889,9,154.0,40.0,
drawer_close_bot,adp40,0.8889,9,154.0,40.0,
