cell,sr,kept
base/up,0.8,256.0
base/lr,0.84,256.0
base/lv,0.64,256.0
team/up,0.8,80.0
team/lr,0.8,80.0
team/lv,0.6,80.0
adp/up,0.96,192.0
adp/lr,0.92,192.0
adp/lv,0.64,192.0
ours_k75/up,0.76,192.0
ours_k75/lr,0.88,192.0
ours_k75/lv,0.6,192.0
ours_k50/up,0.92,128.0
ours_k50/lr,0.76,128.0
ours_k50/lv,0.6,128.0
ours_k3125/up,0.8,80.0
ours_k3125/lr,0.72,80.0
ours_k3125/lv,0.52,80.0
ours_k25/up,0.92,64.0
ours_k25/lr,0.64,64.0
ours_k25/lv,0.44,64.0
ours_k15/up,0.76,38.0
ours_k15/lr,0.56,38.0
ours_k15/lv,0.52,38.0
